time;entity_num
0.0;875
0.01;876
0.02;876
0.03;876
0.04;876
0.05;876
0.06;876
0.07;876
0.08;876
0.09;876
0.1;876
0.11;876
0.12;876
0.13;876
0.14;876
0.15;876
0.16;876
0.17;876
0.18;876
0.19;876
0.2;876
0.21;876
0.22;876
0.23;876
0.24;876
0.25;876
0.26;876
0.27;876
0.28;876
0.29;875
0.3;875
0.31;876
0.32;875
0.33;875
0.34;876
0.35;875
0.36;874
0.37;875
0.38;875
0.39;875
0.4;876
0.41;876
0.42;874
0.43;875
0.44;875
0.45;872
0.46;872
0.47;872
0.48;872
0.49;871
0.5;871
0.51;870
0.52;868
0.53;867
0.54;867
0.55;865
0.56;865
0.57;864
0.58;864
0.59;864
0.6;864
0.61;865
0.62;864
0.63;864
0.64;865
0.65;862
0.66;862
0.67;862
0.68;862
0.69;861
0.7;862
0.71;861
0.72;858
0.73;859
0.74;859
0.75;859
0.76;858
0.77;858
0.78;857
0.79;858
0.8;858
0.81;856
0.82;857
0.83;856
0.84;854
0.85;854
0.86;854
0.87;852
0.88;853
0.89;852
0.9;849
0.91;848
0.92;848
0.93;846
0.94;847
0.95;847
0.96;846
0.97;847
0.98;845
0.99;842
1.0;841
1.01;840
1.02;840
1.03;840
1.04;839
1.05;839
1.06;840
1.07;838
1.08;837
1.09;837
1.1;836
1.11;835
1.12;835
1.13;834
1.14;834
1.15;833
1.16;832
1.17;832
1.18;833
1.19;832
1.2;831
1.21;832
1.22;830
1.23;829
1.24;828
1.25;826
1.26;825
1.27;824
1.28;824
1.29;822
1.3;821
1.31;820
1.32;820
1.33;819
1.34;817
1.35;815
1.36;815
1.37;815
1.38;815
1.39;814
1.4;813
1.41;812
1.42;813
1.43;809
1.44;807
1.45;808
1.46;807
1.47;806
1.48;805
1.49;804
1.5;803
1.51;801
1.52;801
1.53;799
1.54;799
1.55;799
1.56;797
1.57;796
1.58;795
1.59;795
1.6;794
1.61;794
1.62;794
1.63;794
1.64;794
1.65;793
1.66;794
1.67;793
1.68;792
1.69;790
1.7;790
1.71;789
1.72;790
1.73;789
1.74;788
1.75;789
1.76;789
1.77;788
1.78;789
1.79;788
1.8;788
1.81;786
1.82;785
1.83;785
1.84;786
1.85;786
1.86;785
1.87;785
1.88;784
1.89;782
1.9;782
1.91;781
1.92;780
1.93;778
1.94;777
1.95;777
1.96;777
1.97;774
1.98;773
1.99;770
2.0;769
2.01;767
2.02;767
2.03;766
2.04;765
2.05;765
2.06;764
2.07;763
2.08;764
2.09;762
2.1;759
2.11;760
2.12;759
2.13;758
2.14;757
2.15;756
2.16;755
2.17;754
2.18;753
2.19;749
2.2;749
2.21;747
2.22;747
2.23;748
2.24;745
2.25;745
2.26;745
2.27;743
2.28;739
2.29;739
2.3;736
2.31;735
2.32;735
2.33;732
2.34;732
2.35;731
2.36;731
2.37;730
2.38;731
2.39;729
2.4;727
2.41;727
2.42;727
2.43;724
2.44;725
2.45;724
2.46;720
2.47;720
2.48;718
2.49;717
2.5;716
2.51;715
2.52;708
2.53;716
2.54;719
2.55;717
2.56;717
2.57;714
2.58;717
2.59;713
2.6;725
2.61;730
2.62;728
2.63;730
2.64;740
2.65;735
2.66;734
2.67;732
2.68;737
2.69;748
2.7;777
2.71;757
2.72;772
2.73;761
2.74;771
2.75;771
2.76;793
2.77;793
2.78;792
2.79;794
2.8;805
2.81;806
2.82;808
2.83;805
2.84;805
2.85;814
2.86;812
2.87;811
2.88;804
2.89;805
2.9;817
2.91;824
2.92;826
2.93;826
2.94;824
2.95;819
2.96;841
2.97;825
2.98;825
2.99;820
3.0;825
3.01;822
3.02;823
3.03;824
3.04;816
3.05;818
3.06;812
3.07;817
3.08;818
3.09;810
3.1;805
3.11;800
3.12;813
3.13;805
3.14;803
3.15;794
3.16;795
3.17;793
3.18;784
3.19;788
3.2;781
3.21;778
3.22;776
3.23;772
3.24;773
3.25;769
3.26;775
3.27;766
3.28;768
3.29;764
3.3;761
3.31;754
3.32;750
3.33;747
3.34;748
3.35;748
3.36;743
3.37;733
3.38;730
3.39;727
3.4;725
3.41;721
3.42;719
3.43;722
3.44;722
3.45;719
3.46;721
3.47;716
3.48;714
3.49;714
3.5;707
3.51;704
3.52;702
3.53;698
3.54;693
3.55;694
3.56;690
3.57;686
3.58;689
3.59;685
3.6;681
3.61;682
3.62;681
3.63;677
3.64;677
3.65;674
3.66;672
3.67;675
3.68;670
3.69;668
3.7;667
3.71;662
3.72;660
3.73;657
3.74;655
3.75;655
3.76;651
3.77;650
3.78;647
3.79;647
3.8;646
3.81;643
3.82;643
3.83;643
3.84;640
3.85;640
3.86;639
3.87;639
3.88;639
3.89;637
3.9;637
3.91;635
3.92;632
3.93;630
3.94;629
3.95;627
3.96;626
3.97;625
3.98;624
3.99;621
4.0;620
4.01;618
4.02;622
4.03;618
4.04;616
4.05;616
4.06;614
4.07;614
4.08;614
4.09;614
4.1;610
4.11;608
4.12;608
4.13;607
4.14;605
4.15;605
4.16;605
4.17;602
4.18;605
4.19;600
4.2;598
4.21;598
4.22;598
4.23;594
4.24;595
4.25;593
4.26;598
4.27;596
4.28;595
4.29;593
4.3;592
4.31;589
4.32;588
4.33;589
4.34;588
4.35;591
4.36;584
4.37;584
4.38;582
4.39;580
4.4;579
4.41;576
4.42;577
4.43;573
4.44;571
4.45;570
4.46;568
4.47;566
4.48;566
4.49;565
4.5;565
4.51;566
4.52;564
4.53;563
4.54;562
4.55;561
4.56;560
4.57;555
4.58;554
4.59;554
4.6;555
4.61;549
4.62;548
4.63;547
4.64;547
4.65;547
4.66;546
4.67;545
4.68;545
4.69;545
4.7;543
4.71;541
4.72;540
4.73;536
4.74;536
4.75;536
4.76;534
4.77;533
4.78;531
4.79;529
4.8;526
4.81;526
4.82;524
4.83;523
4.84;522
4.85;521
4.86;520
4.87;520
4.88;520
4.89;519
4.9;519
4.91;519
4.92;518
4.93;517
4.94;516
4.95;513
4.96;514
4.97;513
4.98;511
4.99;512
5.0;511
5.01;509
5.02;510
5.03;508
5.04;512
5.05;512
5.06;511
5.07;508
5.08;509
5.09;508
5.1;506
5.11;505
5.12;502
5.13;506
5.14;506
5.15;506
5.16;504
5.17;505
5.18;504
5.19;501
5.2;506
5.21;505
5.22;507
5.23;505
5.24;507
5.25;516
5.26;507
5.27;515
5.28;520
5.29;516
5.3;513
5.31;519
5.32;521
5.33;521
5.34;522
5.35;523
5.36;523
5.37;518
5.38;516
5.39;524
5.4;527
5.41;523
5.42;539
5.43;530
5.44;532
5.45;537
5.46;537
5.47;533
5.48;529
5.49;527
5.5;539
5.51;533
5.52;540
5.53;540
5.54;541
5.55;545
5.56;542
5.57;547
5.58;550
5.59;553
5.6;552
5.61;554
5.62;550
5.63;554
5.64;559
5.65;561
5.66;556
5.67;559
5.68;564
5.69;567
5.7;570
5.71;565
5.72;563
5.73;557
5.74;559
5.75;558
5.76;557
5.77;556
5.78;556
5.79;557
5.8;558
5.81;556
5.82;550
5.83;549
5.84;546
5.85;556
5.86;555
5.87;550
5.88;544
5.89;544
5.9;540
5.91;538
5.92;541
5.93;549
5.94;548
5.95;546
5.96;540
5.97;547
5.98;540
5.99;538
6.0;536
6.01;534
6.02;537
6.03;541
6.04;538
6.05;535
6.06;536
6.07;535
6.08;532
6.09;532
6.1;531
6.11;528
6.12;532
6.13;534
6.14;538
6.15;534
6.16;530
6.17;525
6.18;522
6.19;521
6.2;519
6.21;516
6.22;514
6.23;515
6.24;511
6.25;510
6.26;508
6.27;507
6.28;504
6.29;508
6.3;505
6.31;504
6.32;502
6.33;500
6.34;498
6.35;496
6.36;494
6.37;492
6.38;492
6.39;488
6.4;488
6.41;492
6.42;492
6.43;496
6.44;495
6.45;490
6.46;489
6.47;485
6.48;487
6.49;486
6.5;487
6.51;490
6.52;479
6.53;475
6.54;472
6.55;470
6.56;466
6.57;465
6.58;467
6.59;464
6.6;467
6.61;462
6.62;459
6.63;456
6.64;456
6.65;456
6.66;459
6.67;458
6.68;456
6.69;456
6.7;457
6.71;453
6.72;452
6.73;452
6.74;452
6.75;450
6.76;449
6.77;448
6.78;443
6.79;446
6.8;449
6.81;444
6.82;444
6.83;443
6.84;441
6.85;446
6.86;443
6.87;440
6.88;440
6.89;440
6.9;439
6.91;440
6.92;437
6.93;435
6.94;435
6.95;433
6.96;434
6.97;433
6.98;437
6.99;434
7.0;435
7.01;435
7.02;433
7.03;432
7.04;431
7.05;431
7.06;432
7.07;431
7.08;430
7.09;430
7.1;428
7.11;428
7.12;428
7.13;428
7.14;426
7.15;427
7.16;427
7.17;425
7.18;432
7.19;427
7.2;427
7.21;428
7.22;424
7.23;424
7.24;424
7.25;423
7.26;422
7.27;421
7.28;416
7.29;418
7.3;416
7.31;415
7.32;418
7.33;415
7.34;414
7.35;414
7.36;413
7.37;413
7.38;412
7.39;412
7.4;409
7.41;408
7.42;409
7.43;408
7.44;407
7.45;407
7.46;406
7.47;404
7.48;403
7.49;401
7.5;400
7.51;401
7.52;399
7.53;399
7.54;399
7.55;399
7.56;397
7.57;398
7.58;398
7.59;401
7.6;397
7.61;397
7.62;397
7.63;398
7.64;397
7.65;396
7.66;396
7.67;399
7.68;395
7.69;396
7.7;396
7.71;400
7.72;403
7.73;400
7.74;397
7.75;398
7.76;397
7.77;396
7.78;395
7.79;392
7.8;392
7.81;392
7.82;396
7.83;393
7.84;398
7.85;396
7.86;407
7.87;408
7.88;406
7.89;403
7.9;402
7.91;402
7.92;401
7.93;402
7.94;400
7.95;399
7.96;399
7.97;398
7.98;398
7.99;398
8.0;398
8.01;401
8.02;401
8.03;399
8.04;398
8.05;398
8.06;397
8.07;399
8.08;397
8.09;400
8.1;400
8.11;404
8.12;404
8.13;409
8.14;408
8.15;407
8.16;406
8.17;413
8.18;409
8.19;408
8.2;408
8.21;407
8.22;409
8.23;410
8.24;418
8.25;418
8.26;416
8.27;422
8.28;421
8.29;416
8.3;413
8.31;410
8.32;408
8.33;412
8.34;413
8.35;409
8.36;407
8.37;410
8.38;410
8.39;407
8.4;406
8.41;406
8.42;402
8.43;401
8.44;409
8.45;404
8.46;403
8.47;408
8.48;406
8.49;404
8.5;405
8.51;404
8.52;402
8.53;410
8.54;407
8.55;404
8.56;404
8.57;404
8.58;406
8.59;402
8.6;399
8.61;398
8.62;399
8.63;395
8.64;395
8.65;392
8.66;394
8.67;391
8.68;392
8.69;389
8.7;392
8.71;396
8.72;397
8.73;394
8.74;393
8.75;389
8.76;387
8.77;390
8.78;387
8.79;390
8.8;387
8.81;385
8.82;380
8.83;379
8.84;378
8.85;378
8.86;377
8.87;376
8.88;373
8.89;369
8.9;368
8.91;368
8.92;367
8.93;365
8.94;362
8.95;366
8.96;363
8.97;363
8.98;366
8.99;364
9.0;363
9.01;368
9.02;362
9.03;358
9.04;359
9.05;365
9.06;366
9.07;364
9.08;363
9.09;369
9.1;368
9.11;368
9.12;366
9.13;364
9.14;367
9.15;365
9.16;374
9.17;373
9.18;374
9.19;373
9.2;371
9.21;369
9.22;370
9.23;369
9.24;372
9.25;371
9.26;370
9.27;370
9.28;373
9.29;370
9.3;368
9.31;365
9.32;360
9.33;356
9.34;353
9.35;351
9.36;346
9.37;345
9.38;345
9.39;344
9.4;347
9.41;351
9.42;346
9.43;347
9.44;350
9.45;347
9.46;346
9.47;346
9.48;343
9.49;343
9.5;343
9.51;342
9.52;342
9.53;341
9.54;339
9.55;338
9.56;338
9.57;336
9.58;336
9.59;335
9.6;334
9.61;335
9.62;333
9.63;331
9.64;331
9.65;331
9.66;329
9.67;329
9.68;325
9.69;325
9.7;325
9.71;325
9.72;325
9.73;326
9.74;326
9.75;324
9.76;329
9.77;330
9.78;327
9.79;326
9.8;324
